2023-06-25 12:12:41,335 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:12:46,544 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:12:51,745 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:14,716 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:19,922 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:25,127 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:30,331 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:35,521 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:40,721 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:45,919 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:51,119 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
